Pole Index,Coefficients,Status
0,[],Success
1,"[array([-4421.46878206,  1140.3694611 ]), array([2796.01001342, -960.07269264])]",Success
2,[],Success
3,[],Success
4,"[array([-4413.53614177,  1137.6656345 ]), array([2808.57688219, -965.40708688])]",Success
5,[],Success
7,"[array([-3054.25949677,  3976.48769359]), array([ 594.02686109, -786.48392335])]",Success
8,[],Success
9,[],Success
10,[],Success
11,[],Success
13,[],Success
14,[],Success
15,[],Success
16,[],Success
19,"[array([-559.62098285, 2015.87927173]), array([  701.0772845 , -2547.71078396])]",Success
21,[],Success
22,[],Success
23,[],Success
24,[],Success
25,[],Success
36,[],Success
37,[],Success
38,[],Success
39,[],Success
6,"[array([-1085.45927529,  1201.49320237]), array([ 1641.54841171, -1936.62382267])]",Success
12,"[array([-833.98785563, 1691.55083863]), array([  804.11111567, -1643.39508492])]",Success
17,"[array([  440.37027202, -1301.67516126])]",Success
18,"[array([-619.97226531, 1940.99736855]), array([  765.58318477, -2434.80069452])]",Success
20,"[array([-326.63709171, 1219.26450976])]",Success
26,"[array([-532.48036654, 2579.47139102]), array([  521.40899258, -2532.38551481])]",Success
27,"[array([-1005.00588265,  5410.16584141]), array([  549.81157055, -3115.28123605])]",Success
28,[],Success
29,[],Success
30,"[array([-1013.35493409,  5454.72921101]), array([  549.32285423, -3113.14709717])]",Success
32,"[array([-454.39323577, 2899.18661286]), array([  465.60129092, -2978.55844648])]",Success
33,"[array([-211.28128585, 1462.6159717 ])]",Success
34,"[array([-445.23769464, 3148.82733522]), array([  429.72118254, -3048.56289469])]",Success
35,"[array([-231.57160636, 1759.27768255]), array([  3124.10947318, -23981.21413119])]",Success
40,[],Success
41,"[array([-232.12063591, 1763.41885552]), array([  3054.34543329, -23445.57207564])]",Success
42,"[array([-416.901087  , 3647.14645322]), array([  382.29346781, -3363.16174005])]",Success
43,"[array([-547.79534254, 4884.24071526]), array([  347.72259232, -3147.44422432])]",Success
45,"[array([-381.78981071, 3699.68330691]), array([  400.25918688, -3914.94993739])]",Success
46,[],Success
47,[],Success
48,[],Success
49,[],Success
51,"[array([-430.90325292, 4377.08473142]), array([  315.63949528, -3214.92950009])]",Success
56,[],Success
31,"[array([-495.11481537, 3044.67101427]), array([  497.83522645, -3103.03036315])]",Success
44,"[array([-429.42041022, 3977.31109096]), array([  346.78150878, -3224.69744179])]",Success
50,"[array([-381.92205916, 3700.97095981]), array([  400.34907227, -3915.87835562])]",Success
52,"[array([-719.44877745, 7704.33659724]), array([  270.00034702, -2936.03017861])]",Success
53,"[array([-339.31007913, 3955.91149277]), array([  338.98001096, -3956.60244938])]",Success
54,"[array([-253.61774948, 3106.95856819]), array([  522.51043368, -6442.41443342])]",Success
55,[],Success
57,[],Success
58,[],Success
59,"[array([-252.5523448 , 3093.96678151]), array([  525.79630786, -6482.83121719])]",Success
60,"[array([-332.93093092, 4123.1999871 ]), array([  326.86538764, -4055.20132472])]",Success
61,"[array([-317.59148019, 4076.92792878]), array([  338.40614379, -4360.76159795])]",Success
63,"[array([-1135.07367391, 15498.3002616 ]), array([  259.07264478, -3634.29827459])]",Success
65,"[array([-269.70759796, 3921.74694661]), array([  348.78574541, -5078.5192053 ])]",Success
66,"[array([-200.0388834, 2865.3695467]), array([  2523.07107768, -36818.4290218 ])]",Success
67,[],Success
68,[],Success
70,[],Success
79,[],Success
80,[],Success
81,[],Success
82,[],Success
83,[],Success
85,[],Success
86,[],Success
62,"[array([-267.59360657, 3546.66125251]), array([  418.68867729, -5579.38631671])]",Success
64,"[array([-259.49875111, 3616.92490804]), array([  609.17081341, -8634.95189597])]",Success
69,[],Success
71,[],Success
72,[],Success
73,[],Success
74,"[array([-280.10614422, 4313.45469624]), array([  315.23395947, -4864.73537535])]",Success
75,"[array([-288.89166259, 4645.9895217 ]), array([  288.89166259, -4650.80480648])]",Success
76,"[array([-328.16066463, 5457.91560681]), array([  253.81630167, -4233.12682239])]",Success
77,"[array([-313.07892045, 5493.95602444]), array([  253.8302288 , -4469.76753097])]",Success
78,[],Success
84,[],Success
87,[],Success
88,"[array([-306.11805334, 5372.36951493]), array([  258.48678398, -4551.90908421])]",Success
89,"[array([-319.46161277, 5750.35989102]), array([  244.51545543, -4417.04474032])]",Success
90,"[array([-294.69985021, 5332.41476995]), array([  254.42512987, -4611.51023813])]",Success
92,"[array([-231.59057864, 4396.09171804]), array([  311.50563747, -5917.10780052])]",Success
93,"[array([-229.48031191, 4410.05208271]), array([  311.47622525, -5991.47376957])]",Success
