Pole Index,Coefficients,Status
0,"[array([-728.58350434, 1946.62093882]), array([  707.91446875, -1896.93601582])]",Success
1,"[array([-310.88562918, 4538.08342722]), array([  304.12724594, -4441.07691424])]",Success
2,"[array([-250.75438478, 5656.39751484]), array([  241.79887103, -5455.10473601])]",Success
3,"[array([-185.95688098, 7614.31922552]), array([  179.36266534, -7345.17026913])]",Success
4,"[array([-164.92286038, 8814.8954168 ]), array([  156.73520064, -8380.42455556])]",Success
5,"[array([-146.15783372, 9879.94362246]), array([  139.84886248, -9454.23989311])]",Success
6,"[array([ -128.33435914, 11350.89915082]), array([   121.05297706, -10707.08553209])]",Success
8,"[array([ -105.34280659, 13841.824349  ]), array([    99.32321765, -13051.27624899])]",Success
9,"[array([  -98.87297784, 13980.44700515]), array([    98.15650699, -13879.1613994 ])]",Success
10,"[array([  -99.56009258, 14903.7170317 ]), array([    93.15980092, -13946.39801985])]",Success
11,"[array([  -95.24623418, 15572.50752898]), array([    88.5387529 , -14476.05962529])]",Success
13,"[array([  -84.9991143 , 17849.64503401]), array([    77.16231652, -16203.86380224])]",Success
14,"[array([  -83.90345804, 18064.0414172 ]), array([    76.76273821, -16527.11418548])]",Success
15,"[array([  -79.00398604, 17325.5620906 ]), array([    79.00398604, -17325.41968478])]",Success
16,"[array([  -80.54899316, 18743.39697313]), array([    73.78963709, -17170.90187222])]",Success
17,"[array([  -71.95505352, 19032.13428754]), array([    71.95505352, -19031.99188171])]",Success
18,"[array([  -71.15505382, 19354.08213462]), array([    71.15505382, -19354.14741571])]",Success
19,"[array([  -74.09839581, 20273.03292267]), array([    67.83655954, -18560.0538694 ])]",Success
20,"[array([  -70.70398692, 19429.49163031]), array([    70.70398692, -19429.40484135])]",Success
21,"[array([  -70.06421317, 19694.99883092]), array([    69.54903513, -19549.90210375])]",Success
22,"[array([  -70.92882878, 21186.04968084]), array([    65.43434204, -19545.27056837])]",Success
27,"[array([  -64.08697473, 23987.61176659]), array([    57.81272545, -21639.40760418])]",Success
28,"[array([  -60.34466963, 22906.80589136]), array([    60.34466963, -22906.84225402])]",Success
30,"[array([  -62.8572647 , 24897.53445037]), array([    55.87312418, -22131.37346636])]",Success
31,"[array([  -62.13042982, 24846.04803532]), array([    55.27465825, -22104.11169433])]",Success
7,"[array([ -116.96126869, 12551.64386755]), array([   109.70160374, -11773.36114604])]",Success
12,"[array([  -85.67481669, 17562.31937186]), array([    78.94322395, -16183.92751619])]",Success
23,"[array([  -70.08228544, 21276.70863279]), array([    65.14691323, -19778.90137364])]",Success
24,"[array([  -68.97841809, 22063.73145303]), array([    62.66349249, -20048.20046467])]",Success
25,"[array([  -65.15145707, 21343.41570044]), array([    64.67589899, -21187.67492859])]",Success
26,"[array([  -68.68680745, 22830.68821638]), array([    60.6890285 , -20173.68317519])]",Success
29,"[array([  -63.8372543 , 24404.32217962]), array([    56.74422605, -21693.64287242])]",Success
32,"[array([  -61.19628309, 25127.27839325]), array([    54.44358978, -22354.30973689])]",Success
33,"[array([  -60.74219611, 25760.54712155]), array([    53.66947464, -22761.05213763])]",Success
34,"[array([  -56.76923765, 24138.36597439]), array([    56.76923765, -24138.04480007])]",Success
35,"[array([  -54.38777825, 25475.11179634]), array([    54.38777825, -25475.20642429])]",Success
36,"[array([  -53.98786812, 25573.96093736]), array([    53.98786812, -25574.02621844])]",Success
37,"[array([  -56.72057051, 27367.32926868]), array([    50.81217775, -24517.12416293])]",Success
38,"[array([  -52.69955548, 26075.83643728]), array([    52.69955548, -26075.54155244])]",Success
39,"[array([  -55.61530467, 28023.36205983]), array([    49.43582637, -24911.92783714])]",Success
41,"[array([  -54.28999087, 29766.44213189]), array([    46.85300582, -25690.08236861])]",Success
43,"[array([  -51.51366992, 30650.57949153]), array([    44.80983616, -26661.85291358])]",Success
44,"[array([  -52.17474833, 31294.10205712]), array([    44.3662826 , -26610.69139706])]",Success
45,"[array([  -51.28207838, 31322.87832424]), array([    43.95606719, -26848.061956  ])]",Success
46,"[array([  -49.95613294, 31897.00462321]), array([    43.15938015, -27556.97677732])]",Success
47,"[array([  -48.92248066, 32533.38351142]), array([    42.55585647, -28299.46674399])]",Success
48,"[array([  -48.92248066, 32743.58427605]), array([    42.26636085, -28288.70873973])]",Success
49,"[array([  -47.69374302, 33061.19648228]), array([    41.52924562, -28788.00124589])]",Success
51,"[array([  -47.08031846, 34255.46927839]), array([    40.63095976, -29563.00005001])]",Success
53,"[array([  -46.53801205, 35140.03585207]), array([    39.5731395 , -29882.54272975])]",Success
40,"[array([  -54.39446185, 29187.06110732]), array([    47.6420459 , -25565.42110616])]",Success
42,"[array([  -52.66128541, 30337.85947882]), array([    45.49648467, -26210.46004608])]",Success
50,"[array([  -47.28201731, 33645.20210119]), array([    40.89255552, -29099.71887205])]",Success
52,"[array([  -46.57921087, 34314.3612014 ]), array([    40.24190327, -29646.77416294])]",Success
54,"[array([  -47.16488037, 35901.15693565]), array([    38.6752019 , -29439.81126299])]",Success
55,"[array([  -44.81345675, 35335.04054653]), array([    38.98156854, -30737.02782142])]",Success
56,"[array([  -45.89765328, 36414.44267697]), array([    38.19670474, -30305.9983366 ])]",Success
57,"[array([  -44.56016979, 36739.99180196]), array([    37.63527854, -31030.11434215])]",Success
58,"[array([  -44.32800496, 37133.32367505]), array([    37.43919338, -31362.98224256])]",Success
59,"[array([  -43.74662431, 37460.17651816]), array([    36.99378969, -31677.91789246])]",Success
60,"[array([  -43.87594853, 37970.10020676]), array([    36.5142122 , -31599.16016317])]",Success
61,"[array([  -43.77904339, 38441.73207373]), array([    36.38393471, -31948.93132902])]",Success
62,"[array([  -43.31421247, 38393.73469231]), array([    36.04672715, -31951.87940808])]",Success
63,"[array([  -42.57483207, 39287.79908194])]",Success
