Pole Index,Coefficients,Status
97,"[array([  -63.89037737, 21217.1646146 ]), array([    63.79132252, -21184.21133134])]",Success
98,"[array([  -63.47941597, 21410.76637058]), array([    63.38145391, -21377.76222668])]",Success
99,"[array([  -65.99771736, 22955.36471438]), array([    59.15707805, -20577.39620451])]",Success
107,"[array([  -60.77412365, 22390.12766289]), array([    60.58301005, -22319.71737791])]",Success
108,"[array([  -60.29858277, 22490.86606723]), array([    60.20436624, -22455.65735204])]",Success
109,"[array([  -60.11044367, 22585.29759014]), array([    60.01681369, -22550.1156279 ])]",Success
110,"[array([  -63.52827142, 23947.97416383]), array([    56.78190632, -21404.85746919])]",Success
112,"[array([  -58.57557508, 23132.80946487]), array([    58.57557508, -23132.76209006])]",Success
113,"[array([  -61.80255076, 24575.44202048]), array([    55.26836037, -21977.17110378])]",Success
114,[],Success
115,[],Success
116,"[array([  -57.69724208, 23528.65511144]), array([    57.60666556, -23491.66974703])]",Success
117,"[array([  -60.86535616, 24971.11959031]), array([    54.344068  , -22295.85434437])]",Success
118,"[array([  -57.10002134, 23767.04221507]), array([    57.01052287, -23729.73506653])]",Success
121,"[array([  -55.28564534, 24570.70787977]), array([    55.11421698, -24494.42623348])]",Success
122,"[array([  -55.02635711, 24644.01589903]), array([    54.94064627, -24605.51276519])]",Success
123,"[array([  -54.68431875, 24835.56460265]), array([    54.69116971, -24838.66861557])]",Success
124,[],Success
125,[],Success
126,"[array([  -54.6048519 , 24799.51365532]), array([    54.51784913, -24759.85821105])]",Success
127,"[array([  -54.60316658, 24873.56483767]), array([    54.51784913, -24834.63315566])]",Success
134,[],Success
135,[],Success
136,[],Success
88,"[array([  -71.79142847, 20892.58187315]), array([    64.89255246, -18885.18532809])]",Success
100,"[array([  -62.10628286, 21858.63652737]), array([    62.01073473, -21824.9952354 ])]",Success
101,"[array([  -65.91040759, 23308.3691473 ]), array([    58.27968023, -20609.80464494])]",Success
111,"[array([  -58.89678948, 22991.23809096]), array([    58.89678948, -22991.17067933])]",Success
119,"[array([  -59.37105758, 25773.81758085]), array([    52.80346271, -22922.87955861])]",Success
120,"[array([  -55.50199781, 24407.19057374]), array([    55.41568055, -24369.10957352])]",Success
128,"[array([  -57.47774286, 26626.53266282]), array([    51.03481003, -23641.85396113])]",Success
129,"[array([  -53.88449043, 25173.0805348 ]), array([    53.79949912, -25133.26760815])]",Success
131,"[array([  -52.8630006, 25654.4229717]), array([    52.78040216, -25614.23293123])]",Success
132,"[array([  -55.95567342, 27355.99528424]), array([    49.60082555, -24249.05821773])]",Success
133,"[array([  -52.19243592, 26039.99747588]), array([    52.1111393 , -25999.39621276])]",Success
138,"[array([  -50.8883391 , 26630.44411713]), array([    50.80895012, -26588.74983494])]",Success
141,"[array([  -49.94441289, 27104.02913519]), array([    49.86673884, -27061.67780664])]",Success
142,"[array([  -49.59315941, 27327.37588682]), array([    49.51603163, -27284.71529624])]",Success
143,"[array([  -49.37000705, 27455.70658904]), array([    49.34542991, -27441.93205957])]",Success
144,"[array([  -49.37000705, 27478.56258334]), array([    49.21718635, -27393.29375956])]",Success
145,[],Success
146,[],Success
154,[],Success
155,[],Success
156,[],Success
157,[],Success
158,[],Success
159,[],Success
160,[],Success
130,"[array([  -56.59344006, 27079.16476732]), array([    50.23086396, -24034.77955047])]",Success
137,"[array([  -54.40236429, 28203.98266391]), array([    48.17125649, -24974.14087576])]",Success
139,"[array([  -50.42035769, 26824.34835733]), array([    50.42035769, -26824.16377333])]",Success
140,"[array([  -53.68148074, 28739.77276702]), array([    47.28706906, -25316.8721122 ])]",Success
147,"[array([  -49.33401242, 27435.7181706 ]), array([    49.29271272, -27412.54586351])]",Success
148,"[array([  -49.28567707, 27431.67648813]), array([    49.30260101, -27440.92906561])]",Success
149,"[array([  -51.43959598, 29845.17656856]), array([    45.49847305, -26398.52049161])]",Success
150,"[array([  -48.21648804, 28199.02116347]), array([    48.06744171, -28111.74746715])]",Success
152,"[array([  -47.36053414, 28653.08575059]), array([    47.28664875, -28608.27422917])]",Success
153,"[array([  -47.28664875, 28688.66304464]), array([    47.21299354, -28643.82168897])]",Success
161,"[array([  -46.90943402, 28897.96446482]), array([    46.83579284, -28852.43469978])]",Success
162,"[array([  -50.12784614, 31082.61951364]), array([    43.72384817, -27111.9486091 ])]",Success
165,"[array([  -46.24739003, 29291.11548163]), array([    46.24739003, -29290.95166807])]",Success
166,"[array([  -46.13150542, 29365.71354528]), array([    46.13150542, -29365.56722888])]",Success
167,"[array([  -45.80933796, 29631.75288795]), array([    45.73809482, -29585.54659643])]",Success
169,"[array([  -45.06097081, 30120.20887851]), array([    44.99078239, -30073.17584907])]",Success
170,"[array([  -44.96034664, 30171.37130356]), array([    44.85394045, -30099.76996015])]",Success
171,[],Success
172,[],Success
173,[],Success
174,[],Success
175,"[array([  -44.91081865, 30138.15268558]), array([    44.87713967, -30115.36587842])]",Success
178,"[array([  -44.36058387, 30559.7685167 ]), array([    44.29170098, -30512.1108456 ])]",Success
185,"[array([  -46.83658729, 33801.41817102]), array([    40.25231342, -29049.23195527])]",Success
189,[],Success
151,"[array([  -51.15216774, 30442.05938204]), array([    44.68379769, -26593.60351053])]",Success
163,"[array([  -46.59771613, 29091.30320332]), array([    46.5249072 , -29045.66650223])]",Success
164,"[array([  -49.92700561, 31385.82544745]), array([    43.3136759 , -27228.38640749])]",Success
176,"[array([  -44.87713967, 30227.66897352]), array([    44.8069094 , -30180.22692868])]",Success
177,"[array([  -44.7368986 , 30325.16401702]), array([    44.66710625, -30277.70574126])]",Success
179,"[array([  -47.67092608, 33043.78696719]), array([    41.16720032, -28535.98648454])]",Success
180,"[array([  -44.0437904 , 30759.01653492]), array([    43.97550546, -30711.11779886])]",Success
183,"[array([  -43.58492763, 31119.26424414]), array([    43.51693242, -31070.52891453])]",Success
184,"[array([  -43.51693242, 31175.44721967]), array([    43.44914904, -31126.73236839])]",Success
186,"[array([  -46.56538452, 34002.06960702]), array([    40.03815577, -29235.72851993])]",Success
187,"[array([  -42.98375612, 31489.04438645]), array([    42.90780576, -31433.16522525])]",Success
188,[],Success
190,[],Success
192,"[array([  -42.98266759, 31599.48482163]), array([    42.91540207, -31549.89596014])]",Success
194,"[array([  -42.33169328, 32011.77042719]), array([    42.26585861, -31961.78653055])]",Success
196,"[array([  -41.96172899, 32276.20922847]), array([    41.89626607, -32225.63078455])]",Success
197,"[array([  -41.95343894, 32389.22353058]), array([    41.82253897, -32287.9808148 ])]",Success
200,"[array([  -41.53728794, 32703.96030932]), array([    41.47268874, -32652.97609024])]",Success
202,"[array([  -41.34148601, 32753.18140556]), array([    41.34148601, -32752.9852578 ])]",Success
203,"[array([  -41.35494242, 32868.46677393]), array([    41.33007808, -32848.6152495 ])]",Success
204,[],Success
205,[],Success
206,[],Success
207,[],Success
208,[],Success
168,"[array([  -48.63931888, 32163.88828586]), array([    42.23385142, -27929.55138308])]",Success
181,"[array([  -47.20049673, 33436.03239446]), array([    40.64297476, -28790.8551234 ])]",Success
182,"[array([  -43.67697598, 31037.37876016]), array([    43.60915459, -30989.01748819])]",Success
191,"[array([  -42.9792348 , 31485.72490562]), array([    42.98266759, -31488.06464107])]",Success
193,"[array([  -42.76067695, 31779.45499365]), array([    42.69386339, -31729.69459064])]",Success
195,"[array([  -45.356203  , 34705.59274075]), array([    39.12054557, -29934.04629969])]",Success
198,"[array([  -41.65915327, 32467.41366788]), array([    41.65915327, -32467.1793717 ])]",Success
199,"[array([  -41.53728794, 32646.47064952]), array([    41.47268874, -32595.49966073])]",Success
201,"[array([  -44.61636052, 35286.48003493]), array([    38.54698586, -30486.17054048])]",Success
209,"[array([  -41.24931078, 32784.58347158]), array([    41.24784522, -32783.19447762])]",Success
210,"[array([  -41.20073636, 32866.61614142]), array([    41.13636021, -32815.0039786 ])]",Success
211,"[array([  -41.13636021, 32946.82920202]), array([    41.07218492, -32895.20454908])]",Success
214,"[array([  -40.61401917, 33448.3759705 ]), array([    40.55055976, -33395.96961082])]",Success
215,"[array([  -40.45169692, 33525.50206581]), array([    40.38849114, -33472.936929  ])]",Success
216,"[array([  -40.0180696 , 33888.58554267]), array([    39.95592974, -33835.79693097])]",Success
217,"[array([  -42.62356311, 36278.1901734 ]), array([    37.45895619, -31882.99712353])]",Success
218,"[array([  -43.46586583, 37215.90056151]), array([    36.63551548, -31368.50566   ])]",Success
219,"[array([  -39.75947417, 34111.15542608]), array([    39.697927  , -34058.17364759])]",Success
220,[],Success
221,[],Success
222,[],Success
233,"[array([  -41.05231355, 37981.60459878]), array([    35.79379304, -33116.37452169])]",Success
234,[],Success
235,[],Success
237,[],Success
212,"[array([  -40.91127667, 33068.85887094]), array([    40.91127667, -33068.64753557])]",Success
213,"[array([  -43.71742962, 35922.07276243]), array([    37.8629849 , -31112.11874854])]",Success
223,[],Success
224,[],Success
225,[],Success
226,"[array([  -39.61088894, 34180.3603954 ]), array([    39.5488029 , -34126.50110596])]",Success
227,"[array([  -43.13185684, 37377.48827538]), array([    36.46262464, -31597.8942824 ])]",Success
228,"[array([  -39.00329939, 34764.05376609]), array([    38.94273526, -34709.82967178])]",Success
229,"[array([  -38.82890526, 34951.60938137]), array([    38.7083186 , -34842.82439153])]",Success
230,"[array([  -41.82731622, 37860.39652101]), array([    35.96423866, -32553.78686432])]",Success
232,"[array([  -38.62027807, 35151.06885635]), array([    38.56030869, -35096.31986682])]",Success
236,[],Success
238,"[array([  -38.13170895, 35541.23880697]), array([    38.07212816, -35485.44754625])]",Success
239,"[array([  -38.13170895, 35580.71614687]), array([    38.07212816, -35524.90147042])]",Success
240,"[array([  -41.05006348, 38470.30626389]), array([    35.37356271, -33152.0112397 ])]",Success
241,"[array([  -37.98986081, 35762.99782545]), array([    37.93050165, -35706.97486915])]",Success
242,"[array([  -37.74849783, 35984.1678961 ]), array([    37.63071781, -35871.67029727])]",Success
245,"[array([  -37.50999672, 36173.5794554 ]), array([    37.45138735, -36116.87669765])]",Success
246,"[array([  -37.23523326, 36397.87686833]), array([    37.23523326, -36397.68649341])]",Success
247,"[array([  -37.17723445, 36523.76369989]), array([    37.11941605, -36466.76270637])]",Success
248,"[array([  -37.11941605, 36536.81999116]), array([    37.0617772 , -36479.84315431])]",Success
253,[],Success
254,[],Success
255,[],Success
256,[],Success
231,"[array([  -38.64133382, 35058.27574817]), array([    38.64133382, -35058.07384555])]",Success
243,"[array([  -40.91931873, 39226.92572203]), array([    34.76069478, -33325.08554609])]",Success
244,"[array([  -37.60853049, 36095.28896883]), array([    37.5496752 , -36038.62609259])]",Success
249,"[array([  -40.67219777, 40334.70818541]), array([    33.89349815, -33616.22076826])]",Success
250,"[array([  -36.90646999, 36715.42726154]), array([    36.90646999, -36715.22535886])]",Success
251,"[array([  -36.82980192, 36791.65019697]), array([    36.77270145, -36734.3605695 ])]",Success
252,"[array([-3.67727015e+01,  3.67872776e+04]), array([ 3.68553218e+01, -3.68697383e+04])]",Success
257,[],Success
258,[],Success
259,"[array([-3.68746255e+01,  3.68891122e+04]), array([ 3.67548066e+01, -3.67690983e+04])]",Success
260,"[array([-3.67343998e+01,  3.68812939e+04]), array([ 3.67343998e+01, -3.68810768e+04])]",Success
261,"[array([-4.10372054e+01,  4.12949321e+04]), array([ 3.31543523e+01, -3.33624054e+04])]",Success
262,"[array([-3.66197839e+01,  3.70488498e+04]), array([ 3.65627437e+01, -3.69909482e+04])]",Success
263,"[array([-4.02229123e+01,  4.11525833e+04]), array([ 3.3185333e+01, -3.3952238e+04])]",Success
264,"[array([-3.62826896e+01,  3.73467626e+04]), array([ 3.62262624e+01, -3.72884436e+04])]",Success
266,"[array([-3.60775325e+01,  3.75605728e+04]), array([ 3.60215984e+01, -3.75020531e+04])]",Success
267,"[array([-3.59685876e+01,  3.76762430e+04]), array([ 3.59126489e+01, -3.76174116e+04])]",Success
269,"[array([-4.02360552e+01,  4.25636798e+04]), array([ 3.22001623e+01, -3.40627506e+04])]",Success
270,"[array([-3.57359363e+01,  3.79826383e+04]), array([ 3.56801860e+01, -3.79231957e+04])]",Success
271,"[array([-3.56261109e+01,  3.80495191e+04]), array([ 3.55706185e+01, -3.79900206e+04])]",Success
272,"[array([-3.55339110e+01,  3.81711327e+04]), array([ 3.55212962e+01, -3.81573761e+04])]",Success
273,[],Success
274,[],Success
275,[],Success
277,"[array([-3.53979073e+01,  3.82947666e+04]), array([ 3.53426843e+01, -3.82347988e+04])]",Success
265,"[array([-3.62269429e+01,  3.74488435e+04]), array([ 3.61706024e+01, -3.73904038e+04])]",Success
268,"[array([-3.94295250e+01,  4.15833669e+04]), array([ 3.28391615e+01, -3.46337717e+04])]",Success
276,"[array([-3.55903759e+01,  3.82317061e+04]), array([ 3.54817296e+01, -3.81148660e+04])]",Success
278,"[array([-3.52904293e+01,  3.84984144e+04]), array([ 3.51806612e+01, -3.83784342e+04])]",Success
279,"[array([-3.51885675e+01,  3.85441338e+04]), array([ 3.51336712e+01, -3.84838152e+04])]",Success
281,"[array([-3.84395931e+01,  4.22397615e+04]), array([ 3.23091408e+01, -3.55032864e+04])]",Success
283,"[array([-3.83449724e+01,  4.25346476e+04]), array([ 3.20912859e+01, -3.55978367e+04])]",Success
284,"[array([-3.48939547e+01,  3.87860551e+04]), array([ 3.48939547e+01, -3.87857940e+04])]",Success
285,"[array([-3.48592788e+01,  3.88616091e+04]), array([ 3.48592788e+01, -3.88613862e+04])]",Success
286,"[array([-3.48251063e+01,  3.89788581e+04]), array([ 3.47707770e+01, -3.89178613e+04])]",Success
287,"[array([-3.47027388e+01,  3.90655665e+04]), array([ 3.46486847e+01, -3.90044473e+04])]",Success
288,"[array([-3.46152509e+01,  3.91689681e+04]), array([ 3.45614169e+01, -3.91078151e+04])]",Success
289,"[array([-3.45685385e+01,  3.92691969e+04]), array([ 3.44610158e+01, -3.91467812e+04])]",Success
290,"[array([-3.78776635e+01,  4.31994264e+04]), array([ 3.16097477e+01, -3.60529623e+04])]",Success
291,"[array([-3.43643553e+01,  3.93926681e+04]), array([ 3.43108283e+01, -3.93310012e+04])]",Success
292,"[array([-3.43643553e+01,  3.94730576e+04]), array([ 3.43108283e+01, -3.94113418e+04])]",Success
293,"[array([-3.43386991e+01,  3.95822434e+04]), array([ 3.42270455e+01, -3.94533077e+04])]",Success
294,[],Success
295,[],Success
296,[],Success
297,[],Success
298,[],Success
299,[],Success
300,"[array([-3.43037330e+01,  3.95420108e+04]), array([ 3.42535423e+01, -3.94838952e+04])]",Success
301,"[array([-3.42910234e+01,  3.96210059e+04]), array([ 3.42374437e+01, -3.95589165e+04])]",Success
280,"[array([-3.51361906e+01,  3.85920402e+04]), array([ 3.50813759e+01, -3.85316086e+04])]",Success
282,"[array([-3.50813759e+01,  3.86905147e+04]), array([ 3.5026732e+01, -3.8630056e+04])]",Success
302,"[array([-3.41840312e+01,  3.96352819e+04]), array([ 3.41307850e+01, -3.95732753e+04])]",Success
305,"[array([-3.39193141e+01,  3.98880540e+04]), array([ 3.38665624e+01, -3.98257066e+04])]",Success
306,"[array([-3.76392605e+01,  4.43160587e+04]), array([ 3.08151453e+01, -3.62817959e+04])]",Success
307,"[array([-3.38254334e+01,  4.00752878e+04]), array([ 3.37727458e+01, -4.00125958e+04])]",Success
308,"[array([-3.38089096e+01,  4.01752540e+04]), array([ 3.37562478e+01, -4.01124826e+04])]",Success
310,"[array([-3.35913975e+01,  4.03666061e+04]), array([ 3.35389928e+01, -4.03033679e+04])]",Success
311,"[array([-3.70831731e+01,  4.49195541e+04]), array([ 3.04366869e+01, -3.68683010e+04])]",Success
312,"[array([-3.34013645e+01,  4.05853778e+04]), array([ 3.34013645e+01, -4.05851549e+04])]",Success
313,"[array([-3.32973104e+01,  4.06141755e+04]), array([ 3.32973104e+01, -4.06138649e+04])]",Success
314,"[array([-3.32339520e+01,  4.08841246e+04]), array([ 3.31366469e+01, -4.07641858e+04])]",Success
315,[],Success
316,[],Success
317,[],Success
318,[],Success
319,"[array([-3.32537859e+01,  4.09085031e+04]), array([ 3.31408632e+01, -4.07693624e+04])]",Success
320,"[array([-3.31648440e+01,  4.09052091e+04]), array([ 3.31131048e+01, -4.08411689e+04])]",Success
321,"[array([-3.30442048e+01,  4.10707105e+04]), array([ 3.29926538e+01, -4.10064121e+04])]",Success
323,"[array([-3.29060121e+01,  4.11852873e+04]), array([ 3.28546767e+01, -4.11207719e+04])]",Success
324,"[array([-3.29420227e+01,  4.12487223e+04]), array([ 3.28905508e+01, -4.11840897e+04])]",Success
325,"[array([-3.27934039e+01,  4.13501445e+04]), array([ 3.27934039e+01, -4.13499541e+04])]",Success
331,"[array([-3.24993893e+01,  4.17973986e+04]), array([ 3.24486882e+01, -4.17320047e+04])]",Success
335,[],Success
336,[],Success
303,"[array([-3.74883505e+01,  4.37795968e+04]), array([ 3.11688857e+01, -3.64002030e+04])]",Success
304,"[array([-3.40581342e+01,  3.98894284e+04]), array([ 3.40050014e+01, -3.98270110e+04])]",Success
309,"[array([-3.73592152e+01,  4.46449399e+04]), array([ 3.06101109e+01, -3.65803086e+04])]",Success
322,"[array([-3.66013892e+01,  4.55773888e+04]), array([ 3.00412540e+01, -3.74106694e+04])]",Success
326,"[array([-3.64874734e+01,  4.62388862e+04]), array([ 2.95816522e+01, -3.74874938e+04])]",Success
327,"[array([-3.65311891e+01,  4.65114347e+04]), array([ 2.94307608e+01, -3.74712191e+04])]",Success
328,"[array([-3.26047348e+01,  4.16215966e+04]), array([ 3.25538694e+01, -4.15564387e+04])]",Success
329,"[array([-3.25538694e+01,  4.16209713e+04]), array([ 3.25031624e+01, -4.15558717e+04])]",Success
330,"[array([-3.25388603e+01,  4.16771642e+04]), array([ 3.24881767e+01, -4.16120152e+04])]",Success
332,"[array([-3.24554064e+01,  4.18631256e+04]), array([ 3.24047740e+01, -4.17976292e+04])]",Success
333,"[array([-3.23310543e+01,  4.19459219e+04]), array([ 3.22806944e+01, -4.18803162e+04])]",Success
334,"[array([-3.59632491e+01,  4.67098470e+04]), array([ 2.92582366e+01, -3.80010190e+04])]",Success
337,"[array([-3.21172849e+01,  4.23058510e+04]), array([ 3.20668653e+01, -4.22393112e+04])]",Success
338,"[array([-3.19734643e+01,  4.23550861e+04]), array([ 3.19734643e+01, -4.23548364e+04])]",Success
340,"[array([-3.18946869e+01,  4.24716355e+04]), array([ 3.18946869e+01, -4.24713801e+04])]",Success
342,"[array([-3.48559686e+01,  4.74449036e+04]), array([ 2.87897372e+01, -3.91874923e+04])]",Success
343,"[array([-3.13173650e+01,  4.34101456e+04]), array([ 3.12687356e+01, -4.33425719e+04])]",Success
346,[],Success
347,[],Success
348,[],Success
349,"[array([-3.11398166e+01,  4.36035955e+04]), array([ 3.10911606e+01, -4.35352450e+04])]",Success
351,"[array([-3.1026885e+01,  4.3758446e+04]), array([ 3.09299259e+01, -4.36214076e+04])]",Success
352,"[array([-3.09647764e+01,  4.37889280e+04]), array([ 3.09163940e+01, -4.37202497e+04])]",Success
363,[],Success
364,[],Success
339,"[array([-3.55224494e+01,  4.71092390e+04]), array([ 2.90454216e+01, -3.85193281e+04])]",Success
