Pole Index,Coefficients,Status
0,"[array([12754.82968673, -1994.75826658])]",Success
1,"[array([-3426.09830416,   446.31685052]), array([5730.43072882, -966.82189628])]",Success
2,"[array([-3138.09301816,   744.13991826]), array([3163.19776231, -919.38325207])]",Success
3,[],Success
4,[],Success
5,[],Success
6,[],Success
7,[],Success
8,[],Success
9,[],Success
10,"[array([-586.09451718, 2505.84946008]), array([  553.53371067, -2377.69049568])]",Success
11,"[array([-443.7233794 , 2024.33442684]), array([  830.300566  , -3839.14045891])]",Success
13,"[array([-463.29731283, 3206.19731067]), array([  451.71488001, -3149.44109175])]",Success
16,"[array([-624.12243957, 6017.4674743 ]), array([  782.03293632, -8009.16623713])]",Success
17,[],Success
18,[],Success
19,[],Success
20,[],Success
21,[],Success
22,"[array([-341.20595078, 4359.00461613]), array([  345.8800049 , -4452.53718922])]",Success
23,"[array([-323.70820972, 4348.92257219]), array([  317.60050765, -4272.86577125])]",Success
26,"[array([-287.03582662, 4779.94886585]), array([  307.80815618, -5153.40954403])]",Success
27,"[array([-284.0690373 , 5073.78837655]), array([  272.1619519 , -4866.09899536])]",Success
33,"[array([-229.56866208, 5527.88800412]), array([  253.51140598, -6115.64229571])]",Success
40,[],Success
14,"[array([-401.57980843, 3457.08404099]), array([  404.0284658 , -3490.53314025])]",Success
15,"[array([-165.58350437, 1597.90234604])]",Success
24,"[array([-320.71191168, 4733.34535825]), array([  299.45991753, -4434.06965595])]",Success
25,"[array([-302.13518093, 4809.30616708]), array([  368.01428053, -5933.36529202])]",Success
28,"[array([-265.15149648, 4844.17264151]), array([  283.61141079, -5187.31350329])]",Success
29,"[array([-267.38510509, 5537.3445574 ]), array([  249.05012645, -5164.79409664])]",Success
30,"[array([-271.94576961, 5960.03929106]), array([  231.82262328, -5083.50408053])]",Success
31,"[array([-275.47753285, 6324.31496844]), array([  231.82262328, -5345.14591563])]",Success
32,"[array([-201.27924852, 4764.13243592]), array([  340.37466416, -8104.738402  ])]",Success
34,"[array([-315.4378563 , 7718.60766363]), array([  216.34743023, -5337.04766681])]",Success
35,"[array([-225.01417698, 5940.07153484]), array([  247.10145816, -6550.16068129])]",Success
36,"[array([ -582.75213697, 16001.12731711]), array([  153.35582552, -4245.74343313])]",Success
37,"[array([-289.15182369, 8309.52405906]), array([  221.51397019, -6432.94430123])]",Success
38,"[array([-162.74766162, 4804.34886443]), array([  328.35054537, -9716.10838862])]",Success
39,[],Success
41,[],Success
42,[],Success
43,"[array([-228.53139164, 7081.50114903]), array([  204.47545568, -6356.59334682])]",Success
44,"[array([-143.16340707, 4776.68916724]), array([   352.74282773, -11791.40306921])]",Success
45,"[array([-195.67285939, 6611.50358421]), array([  210.25717189, -7113.78336219])]",Success
46,"[array([-259.65971122, 8970.64405184]), array([   352.59055524, -12453.2191062 ])]",Success
48,"[array([-175.43221567, 6363.77861726]), array([  220.17331766, -7991.7314437 ])]",Success
49,"[array([ -309.48890878, 11614.26518743]), array([  182.25457962, -6917.23736361])]",Success
50,"[array([-189.06634402, 7214.22240311]), array([  192.46274541, -7351.03340295])]",Success
51,"[array([-198.4029536 , 7633.12410049]), array([  179.56021499, -6910.36239474])]",Success
12,"[array([-1381.93033966,  7919.6722395 ]), array([ 1072.81434263, -6939.70575653])]",Success
47,"[array([-193.61909103, 6784.58067461]), array([  203.00668332, -7116.8122036 ])]",Success
52,"[array([-172.60689323, 6795.75392834]), array([  208.76103978, -8234.41107764])]",Success
54,"[array([ -251.19214543, 10196.70220757]), array([  208.76103978, -8578.94383849])]",Success
55,"[array([-180.40206086, 7718.26503971]), array([  181.48231272, -7777.87920248])]",Success
56,"[array([-189.42252818, 8234.62311732]), array([  166.14154706, -7224.90964492])]",Success
57,"[array([-186.93855415, 8701.17988486]), array([  163.302645  , -7615.81933191])]",Success
58,"[array([-110.56288028, 5226.68724746]), array([   373.8771083 , -17708.13428878])]",Success
59,"[array([-192.53077201, 9246.47661272]), array([  165.18912391, -7965.39767315])]",Success
60,"[array([-164.72658474, 8292.36685103]), array([  172.96291398, -8728.09479988])]",Success
61,"[array([-117.75079709, 6161.76264147]), array([   254.20966475, -13307.55819687])]",Success
62,"[array([ -190.79171964, 10352.97232693]), array([  136.00025144, -7381.74904844])]",Success
63,"[array([-164.72080143, 9206.88594059]), array([  148.9890395 , -8329.50738649])]",Success
64,"[array([-139.57920542, 7987.28210252]), array([  173.33365379, -9920.56216279])]",Success
65,"[array([ -74.70436347, 4326.15126769]), array([   5304.00980611, -307486.69703476])]",Success
66,"[array([ -285.16181753, 16583.89516818]), array([  111.42877744, -6505.13040392])]",Success
67,"[array([-113.33354287, 6720.52678809]), array([   270.8815159 , -16127.25290687])]",Success
68,[],Success
69,[],Success
70,[],Success
71,[],Success
72,[],Success
73,[],Success
74,"[array([-113.49439125, 6729.91386644]), array([   277.52244859, -16523.77352993])]",Success
76,"[array([-149.15390754, 9056.69900632]), array([  163.77683966, -9973.97853367])]",Success
53,"[array([-199.33312185, 7951.35145468]), array([  174.5572536, -6970.4630041])]",Success
75,"[array([-147.39915569, 8922.79991808]), array([  155.63886005, -9430.21046237])]",Success
77,"[array([ -204.01554416, 12676.18110421]), array([  130.91906577, -8172.37366569])]",Success
78,"[array([-153.57370183, 9893.27401698]), array([  139.37035368, -8980.94334451])]",Success
79,"[array([-148.83377276, 9777.41566704]), array([  143.51828087, -9441.16015308])]",Success
80,"[array([-143.29015301, 9541.7106904 ]), array([  145.02700335, -9665.32219121])]",Success
81,"[array([ -147.34424347, 10059.56743802]), array([  137.06441253, -9360.95370117])]",Success
82,"[array([-141.16813746, 9774.67247053]), array([  140.32785093, -9718.58198826])]",Success
83,"[array([ -156.9665221 , 11248.30207737]), array([  124.23018862, -8905.45775633])]",Success
84,"[array([-116.15522636, 8392.58076404]), array([   175.99276721, -12738.40564347])]",Success
86,"[array([ -135.48466394, 10277.11768393]), array([   133.90004799, -10161.63715219])]",Success
87,"[array([ -138.48399856, 10679.94312593]), array([  128.25506685, -9892.61894341])]",Success
88,"[array([ -148.50586688, 11425.14006155]), array([   230.33563026, -17927.08005845])]",Success
89,"[array([ -132.62555   , 10635.91527585]), array([   128.81447098, -10333.90495558])]",Success
90,"[array([ -168.61590548, 13722.84426169]), array([  106.49425609, -8675.59909082])]",Success
91,"[array([ -178.05839618, 14388.15512351]), array([   239.32580132, -19644.83750901])]",Success
97,"[array([ -135.98645573, 11827.15899721]), array([   117.09944799, -10187.67520861])]",Success
101,"[array([ -141.55418742, 12828.38352775]), array([   110.51824258, -10025.76375675])]",Success
102,"[array([ -150.97621049, 13828.19402131]), array([  102.15305785, -9357.8755186 ])]",Success
103,"[array([ -119.37653853, 11046.67526739]), array([   124.44099774, -11516.53801942])]",Success
104,"[array([ -153.22958677, 14362.26386966]), array([  100.15982745, -9391.1264989 ])]",Success
108,[],Success
112,[],Success
113,[],Success
114,[],Success
85,"[array([-132.54684461, 9799.25199426]), array([   139.7766725 , -10335.39425161])]",Success
92,"[array([ -124.92011143, 10393.7043229 ]), array([   132.67912456, -11042.71233375])]",Success
93,"[array([ -92.25532999, 7759.68883961]), array([   221.02839477, -18626.65467942])]",Success
94,"[array([ -129.31227386, 11042.73662653]), array([   124.72130555, -10655.5545606 ])]",Success
95,"[array([ -130.11049777, 11145.20767167]), array([   123.98765081, -10627.00709556])]",Success
96,"[array([ -157.29776596, 13466.52187468]), array([   132.56541282, -11414.56089151])]",Success
98,"[array([ -96.68761761, 8504.26400758]), array([   178.6262766 , -15726.05999904])]",Success
99,"[array([-107.9362153 , 9506.33707754]), array([   455.20925581, -40536.99681896])]",Success
100,"[array([ -130.05978738, 11580.54889839]), array([   149.56875548, -13385.69172961])]",Success
105,"[array([ -118.00439441, 11256.12762022]), array([   126.74546066, -12109.00464599])]",Success
106,"[array([ -137.8343714 , 13235.06819551]), array([   105.36694377, -10118.9630438 ])]",Success
107,"[array([ -85.22789237, 8227.09533473]), array([   204.28285017, -19745.18224711])]",Success
109,[],Success
110,[],Success
111,[],Success
115,[],Success
116,[],Success
117,[],Success
118,[],Success
119,"[array([ -136.99097827, 13154.2100524 ]), array([   105.06226896, -10089.79950555])]",Success
124,"[array([ -73.79442691, 7424.84357558]), array([   396.08029137, -40000.74864355])]",Success
125,"[array([ -114.82157881, 11654.76459665]), array([   118.34371313, -12015.82906938])]",Success
127,"[array([ -114.81371984, 11895.77980425]), array([   115.50956056, -11970.05280025])]",Success
128,"[array([ -100.23910761, 10822.96001889]), array([   128.87885264, -13919.61130699])]",Success
129,"[array([ -112.77601386, 12299.72162696]), array([   114.83898973, -12540.94485806])]",Success
120,"[array([ -85.22353758, 8226.70933232]), array([   204.65254474, -19780.94300357])]",Success
121,"[array([-100.55924496, 9804.91672661]), array([   147.02980513, -14350.10492871])]",Success
122,"[array([ -112.1845912 , 11032.20909756]), array([   126.02554725, -12402.22970165])]",Success
123,"[array([ -138.62810198, 13818.8577038 ]), array([   105.47790368, -10531.54884289])]",Success
126,"[array([ -135.98706064, 13877.46985557]), array([   133.15399688, -13667.3280996 ])]",Success
130,"[array([ -89.15787507, 9784.55372397]), array([   154.73680798, -17005.88117714])]",Success
131,"[array([ -112.11469321, 12370.15592537]), array([   122.37355402, -13537.04879254])]",Success
135,"[array([  -96.38485815, 11294.16388298]), array([   127.62684665, -14973.47387725])]",Success
137,"[array([ -183.99081585, 22118.11728005]), array([   75.71638512, -9112.45817841])]",Success
139,"[array([  -85.30861375, 10427.75392355]), array([   140.19710166, -17146.36285636])]",Success
141,"[array([  -93.09810395, 11487.44249549]), array([   121.79272503, -15030.80872675])]",Success
142,"[array([ -124.34781717, 15363.09414065]), array([   117.75985334, -14623.05294118])]",Success
143,"[array([   49.25689156, -6212.72120509])]",Success
145,"[array([  -97.15709513, 12417.19893504]), array([   138.79585018, -17808.9585759 ])]",Success
146,"[array([ -107.95232792, 13875.738764  ]), array([    98.80382555, -12702.18549137])]",Success
147,"[array([  -82.4321055 , 10722.17971022]), array([   136.95412804, -17827.92157346])]",Success
148,"[array([ -106.70659056, 13951.47975219]), array([    98.26652125, -12851.14887701])]",Success
149,"[array([ -61.56213762, 8190.41381571]), array([   332.67232058, -44355.58658574])]",Success
152,"[array([ -105.91217659, 14470.91096131]), array([    95.14144677, -13000.85249819])]",Success
153,"[array([ -122.91997137, 16991.39688581]), array([    84.62329687, -11708.08933435])]",Success
