Pole Index,Coefficients,Status
0,"[array([-8.87629381e+05,  2.63901144e+02]), array([15269.06610381, -5690.24579761])]",Success
1,"[array([-2927.23028933,   809.20056219]), array([2510.91309263, -808.81490706])]",Success
2,[],Success
3,[],Success
5,[],Success
6,[],Success
7,"[array([-387.86946783, 4227.12632523]), array([  342.8489046 , -3760.36002069])]",Success
8,"[array([-322.68132198, 3836.01645673]), array([  357.20071921, -4252.64212161])]",Success
12,"[array([-279.44903164, 4930.94424629]), array([  276.99772435, -4893.90817842])]",Success
13,[],Success
14,[],Success
15,[],Success
16,"[array([-256.69920605, 5711.44562864]), array([  241.00580481, -5370.26121573])]",Success
17,"[array([-212.27049731, 5078.1043875 ]), array([  273.21945198, -6540.93255704])]",Success
18,"[array([-228.64208387, 6003.37134725]), array([  227.61678305, -5981.89783417])]",Success
20,[],Success
21,[],Success
28,[],Success
30,[],Success
31,[],Success
32,[],Success
33,[],Success
34,[],Success
35,[],Success
36,[],Success
4,"[array([-418.4748446 , 3265.43645489]), array([  424.28699522, -3322.17318684])]",Success
9,"[array([-272.93904479, 3906.83902028]), array([  357.59393569, -5128.49169774])]",Success
11,"[array([-373.57578756, 5708.52745391]), array([  412.77818502, -6462.81397827])]",Success
19,"[array([-230.86821747, 6298.54495885]), array([  216.81536945, -5917.55337462])]",Success
23,"[array([-199.07862201, 7063.23601237]), array([  193.54866028, -6869.42879279])]",Success
24,"[array([-188.49809175, 7813.07849612]), array([  174.05994004, -7217.23992733])]",Success
25,"[array([-171.14680297, 7140.27809084]), array([  192.03796202, -8017.50048703])]",Success
26,"[array([-178.75023036, 7958.59382182]), array([  171.84571502, -7653.56069283])]",Success
27,"[array([-181.53034915, 8643.00351488]), array([  162.69940006, -7761.73555443])]",Success
29,[],Success
37,[],Success
38,"[array([-181.33096286, 9008.57459946]), array([  184.0784017 , -9202.61768188])]",Success
39,"[array([-167.96093795, 8421.57701511]), array([  161.98899349, -8123.32300016])]",Success
41,"[array([-155.18219842, 8642.91656258]), array([  157.94099306, -8799.27709133])]",Success
45,"[array([-146.38432727, 9244.84220181]), array([  147.64626113, -9329.07104756])]",Success
46,"[array([ -429.31196996, 28044.24712916]), array([   86.31076158, -5649.22713581])]",Success
47,"[array([-150.94530451, 9927.10308068]), array([  138.31389827, -9104.02426104])]",Success
48,[],Success
49,[],Success
52,"[array([-123.45280853, 9155.03451143]), array([   150.47730393, -11161.62207855])]",Success
53,"[array([ -166.18647302, 12446.00149364]), array([  115.88482027, -8692.40466699])]",Success
54,"[array([ -140.67878181, 10552.38748553]), array([  130.3704228 , -9785.11047305])]",Success
62,[],Success
63,[],Success
64,[],Success
10,"[array([-324.61197075, 4760.84303034]), array([  286.9959913 , -4215.15695616])]",Success
22,"[array([-220.5034932 , 7125.26548084]), array([  194.98225556, -6311.53766436])]",Success
40,"[array([-165.36943204, 8704.95785806]), array([  156.77881219, -8255.31829195])]",Success
42,"[array([ -240.77423563, 13812.00609512]), array([  140.94101598, -8148.0945639 ])]",Success
43,"[array([-153.41367226, 9093.00516138]), array([  150.74560839, -8941.11924447])]",Success
44,"[array([ -584.09496787, 34815.40291738]), array([   883.63084883, -56788.51509573])]",Success
50,[],Success
51,[],Success
56,"[array([ -601.30116916, 48749.86420841]), array([  115.99904444, -9532.82955348])]",Success
58,"[array([ -164.84342967, 14008.26883284]), array([   189.62381452, -16306.62822471])]",Success
59,"[array([ -128.94419387, 11039.42337181]), array([   123.4572069 , -10570.74529277])]",Success
61,[],Success
65,[],Success
66,[],Success
74,"[array([ -116.45166232, 12439.42654446]), array([   109.42440683, -11690.58750968])]",Success
76,[],Success
77,[],Success
78,[],Success
79,[],Success
80,[],Success
81,[],Success
82,[],Success
84,[],Success
85,[],Success
86,[],Success
55,"[array([-123.81202699, 9790.94228376]), array([   139.28853036, -11016.22588395])]",Success
57,"[array([ -129.12688259, 10687.52211844]), array([   127.44261891, -10549.67919988])]",Success
60,[],Success
67,"[array([ -126.57452962, 11498.28450622]), array([   118.59235208, -10774.68919765])]",Success
68,"[array([ -123.61461962, 11505.30326998]), array([   118.04639351, -10987.98138885])]",Success
69,"[array([ -122.4593428 , 11694.43734616]), array([   116.4724416 , -11125.76556196])]",Success
71,"[array([ -511.49099877, 49564.2320758 ]), array([   592.86456676, -60955.84690988])]",Success
73,"[array([ -117.51415594, 12392.21597484]), array([   110.39208589, -11642.69525885])]",Success
75,"[array([ -112.82880117, 12472.27557132]), array([   108.92131022, -12042.23145521])]",Success
83,[],Success
87,[],Success
88,"[array([ -192.04842141, 21952.93916868]), array([   104.30215991, -12009.33600043])]",Success
89,"[array([ -121.59849798, 14019.69909467]), array([    98.36626463, -11346.97284271])]",Success
91,"[array([ -111.04146548, 13212.34088865]), array([   103.41630047, -12307.80991385])]",Success
92,"[array([ -107.57141968, 13034.58868976]), array([   104.76520873, -12696.24738126])]",Success
93,"[array([ -111.6029862 , 13794.23646767]), array([    99.15141336, -12259.01997982])]",Success
97,"[array([ -104.34399039, 13979.51979571]), array([    97.20935857, -13024.49706384])]",Success
100,[],Success
101,[],Success
102,[],Success
103,[],Success
104,[],Success
105,[],Success
106,[],Success
107,[],Success
72,"[array([ -118.04439055, 12174.53632611]), array([   111.8586583, -11537.5876033])]",Success
90,"[array([ -125.37876217, 14564.23553714]), array([    96.02421071, -11161.31366983])]",Success
94,"[array([ -109.10532615, 13788.92351641]), array([    99.14550384, -12531.64771936])]",Success
96,"[array([ -171.2409469 , 22456.57367433]), array([   192.64606526, -25661.77460847])]",Success
98,"[array([ -105.94162772, 14506.14046609]), array([    94.0231946 , -12877.56354385])]",Success
99,"[array([ -115.85289757, 16154.99248644]), array([    85.7842066 , -11963.18974001])]",Success
108,"[array([  -92.63684403, 13260.96575653]), array([   103.07479829, -14757.1370885 ])]",Success
109,"[array([ -104.05181059, 14948.0555808 ]), array([    91.09930305, -13088.830556  ])]",Success
110,"[array([  -99.94583313, 14638.34281879]), array([    93.11193001, -13638.58634965])]",Success
111,"[array([ -165.06231091, 24293.24448829]), array([   106.518043  , -15806.30652107])]",Success
112,"[array([  -99.18881986, 14722.59145666]), array([    92.80327351, -13776.79522488])]",Success
113,"[array([ -100.5728499 , 15049.88262423]), array([    90.85362491, -13596.81625975])]",Success
117,"[array([  -94.17689973, 15511.0078866 ]), array([    87.7374536 , -14452.10532909])]",Success
119,"[array([  -91.323606  , 15530.92098138]), array([    87.79608474, -14931.81783666])]",Success
123,[],Success
124,[],Success
125,[],Success
126,[],Success
127,[],Success
128,[],Success
129,[],Success
130,[],Success
131,[],Success
132,[],Success
133,[],Success
95,"[array([ -103.88724533, 13267.86893948]), array([   102.54964131, -13098.10685154])]",Success
114,"[array([  -96.30546444, 15135.77758348]), array([    90.21018188, -14178.79732349])]",Success
