Pole Index,Optimized Pole,Optimized Residue,Temperature,Integral Difference,Violations
0,(19.125140688197497+0.19125140688197498j),(-0.5797641728619318-0.5723840901973647j),1379.3103448275863,0.010806189608117314,0
1,(19.53166940913648+0.1953166940913648j),(0.6778835121110807-0.129893277055964j),0,0.024848112026457075,0
2,(624.0596869954522+1.105587629508665j),(23707.75896582275+7911.571704558408j),0,0.6506855509364162,0
3,(624.3369215463368+6.243369215463368j),(-5017981.1687895795-8041653.977512818j),0,0.2617295427997942,0
4,(626.0354020491319+4.9784568278464665j),(3514681.3052669577-2111439.689563614j),0,0.17252196228017966,0
5,(632.4239515290251+6.324239515290251j),(-21884162.138085607+5486600.565121407j),0,4.8829373826746885,0
6,(633.1238928163023+0.8402893910121213j),(8598.432185399288-23682.59252813665j),0,1.406689811131968,0
7,(634.8027812244932+10.385431239042976j),(192415366.17543036+17147.66577107448j),0,10.053472463794169,0
8,(636.1825361258435+6.361825361258435j),(-40139488.53751834+20257871.386168737j),0,9.763839068275317,0
9,(638.482925464873+2.1273895993048964j),(-318578.61199510307+77122.57195786014j),689.6551724137931,1.1014266617316544,0
10,(640.7196044181317+6.407196044181316j),(-18510347.700835425+13052883.646848043j),0,2.121923030607079,0
11,(643.4769050406794+0.516082537652191j),(1442.521522014062+16507.809565826643j),0,1.6114421751516719,0
12,(648.3084515922981+6.483084515922981j),(18617482.65366038-1038.8181791231013j),0,0.014940431144107414,0
13,(648.7841057160325+3.837875215110748j),(-358616.2936534489+364481.9327768851j),0,0.0032650164071315983,0
14,(651.9080464637948+6.519080464637948j),(26053189.901809018-3977.96317653558j),0,10.61827853115873,0
15,(654.436189730646+0.7234023500719053j),(28758.60814646404-79855.13347783369j),0,5.2983879556718545,1
16,(655.8364290120581+6.558364290120582j),(40856302.16443742-13872.335191566162j),0,0.5273764010632989,0
17,(659.444705570702+1.1178297717753571j),(-162194.7049899083-61641.15244571665j),689.6551724137931,1.1815377198241863,0
18,(659.7232581354407+6.597232581354407j),(31607964.036574606+7090.525079100984j),0,1.7159240791646764,0
19,(663.6871789960187+5.2119118304134995j),(-32741438.536394294+1160264.6591204554j),0,0.38605494292994286,0
20,(663.9093525329062+6.639093525329062j),(99516903.842449-10095.536504918671j),0,1.9219656666633615,0
21,(664.7601307202335+1.254741182081671j),(82695.0165675299+9993.348380720656j),0,0.615983949768924,0
22,(667.0396414801302+6.670396414801302j),(-32688833.49818444+4636.223899616504j),0,0.4523063037976522,1
23,(668.4291115599725+6.684291115599725j),(42384957.462120876+657.4530360919114j),0,0.41353486290703645,0
24,(671.3429157701823+6.713429157701824j),(1577778.8460098477+16332427.939765286j),0,0.20643923175325207,0
25,(673.8328499878083+0.23541087308174663j),(-1383.826028766371+14607.670203597096j),1724.1379310344828,6.670048593945149,0
26,(679.0008947967617+0.6018523900790067j),(1809.7519739756365-13773.973499243084j),3448.2758620689656,1.3811185285774887,0
27,(685.4915855814751+0.45931143498746985j),(6050.471754157702+8970.513631481295j),0,1.5515414923743895,0
28,(696.5603603591203+0.32029155139922777j),(2124.169350532628-1191.1311676656492j),0,0.9471958980063341,0
29,(700.0484458125975+0.5318335157747678j),(2258.8365393015233+3763.3808157692083j),0,0.5077341985168431,0
30,(703.3170711033151+0.5795827624759686j),(6355.615950988221+346.740643674921j),0,0.6839307683748419,0
31,(1279.4213629001556+12.794213629001556j),(2621007.2003236576+10453206.664065942j),0,0.0020675909237317983,0
32,(1281.7965948336566+12.817965948336566j),(41716245.396337256-217.92824445123276j),0,0.12870455686667043,0
33,(1282.8227148599797+12.828227148599797j),(-68835922.73263825+245.81552511416024j),0,0.036569569219688756,0
34,(1284.749096572572+0.7834945409952987j),(-9274298.598262144-36580.1707376343j),1379.3103448275863,127.94294754612098,0
35,(1284.8116943534174+12.848116943534173j),(-9366.659550675224+0.0024249222468019477j),0,3.0471781277640076e-05,0
36,(1285.83017905719+12.8583017905719j),(37326999.44633975+2212.760590073307j),0,0.09052499156816726,0
37,(1287.7592984781102+12.877592984781101j),(-23278380.48676663-6518.53965406594j),0,0.0015662536555617833,0
38,(1293.7417367099124+4.628107840937077j),(31970.957031908587+8795.52509903858j),0,5.7911321836100225e-05,0
39,(1297.8733565636824+12.978733565636823j),(-9818906.414691791-1077.4447953507909j),0,0.0007227824397293241,0
40,(1298.6623190000846+0.8090308703035636j),(51742.91746537674-73605.02089114301j),0,2.3498537996549587,0
41,(1299.9240448068367+1.0342747352092116j),(-284316.4898623978-9703.223717998768j),1034.4827586206898,1.321581690856738,0
42,(1301.0799847592978+0.7393295817708305j),(8972.5321615297+98867.07807412402j),0,3.231105146472343,0
43,(1301.7769179319716+13.017769179319716j),(3447903.164775921-7862530.733404109j),0,0.001745740442631846,1
44,(1350.0508008912975+0.6207734795423945j),(-1182.095450577066+3524.679437918329j),344.82758620689657,0.11014114274855998,0
45,(1353.717799741129+1.3649241232085088j),(-7425931.509919568-3112074.9093167824j),2413.793103448276,92.63706974462639,0
46,(1354.0474384695874+13.540474384695875j),(161050342.96565586+23127750.617683697j),0,2.326967335508715,0
47,(1355.2548486607393+13.552548486607392j),(-175544.9788562522+0.3029951099236197j),0,0.00041353066691420133,0
48,(1355.62998867406+13.5562998867406j),(-280669342.15569425+649.3309366813128j),0,0.6342879415666268,1
49,(1359.1929613276127+13.591929613276127j),(244365498.04993963-3600.645164068473j),0,0.07026354282711163,0
50,(1360.0879486813783+5.3064143272328j),(-1077803.654660919+463455.8591848653j),0,0.00450509958377389,0
51,(1361.682401240394+13.61682401240394j),(-160332111.55172193-2630.3321929406975j),0,0.004966282175494553,0
52,(1379.5917763645389+5.03050994404368j),(-14228855.005066711-2160269.993718976j),0,4.050474003345786,0
