Pole Index,Optimized Pole,Optimized Residue,Temperature,Integral Difference,Violations
0,(0.24111128210783983+0.5069815319019478j),(-11.888668988515464-3.9724133506769674j),0,0.0034853040427064307,0
1,(0.5464492800005132+0.044235116310003764j),(-83.01399353478381-1.707566925894047j),0,73.9962678132066,0
2,(1.9149303420678043+6.568653605096552j),(-134.05450101465237-1627.192113932163j),0,4.4013220271706173e-07,0
3,(0.5464015274954963+0.04423720444062293j),(-86.57014806183285+0.6699477352389728j),0,0.2768770323076444,0
4,(2.795905976210207+0.007436525885500481j),(-474.9432869818982+9.849913409244266j),9655.172413793103,648.435375318331,0
5,(3.3062466833328146+0.014508341353397838j),(-291.8141238110855-23.68409071186498j),0,0.19164807226914332,0
6,(3.449295008138813+0.004322113514974705j),(-152.57158616651742+11.933031918322522j),0,0.0030795340690036865,0
7,(3.3062467104684057+0.0145085334172049j),(-379.73862154727374-23.37746762591034j),1724.1379310344828,119.30734558839357,0
8,(3.4492949432387836+0.004322078270249962j),(-290.51060143275004+14.128683517620392j),2068.9655172413795,178.5309294940618,0
9,(3.7855510058772355+0.005873623062128498j),(-143.80409751719344+17.124807723061828j),1724.1379310344828,64.42059785126493,0
10,(3.8310209309302703+0.004664369369035286j),(-502.8601942974051-23.251865565513455j),2068.9655172413795,275.38417371923975,0
11,(3.9348907008073897+0.04939602595076793j),(-90.41094771996913+8.693595604119752j),1379.3103448275863,3.897761865331542,0
12,(4.202029247809507+0.004548360255707263j),(-434.218060159866+0.07521573778013692j),2068.9655172413795,215.7782983776221,0
13,(4.718735376678852+0.00567763616959469j),(-276.4701493036236-10.819830218201627j),0,0.0019910768740800684,0
14,(4.892132640368798+0.003133062838470195j),(-10.00902355602264+1.6859310065301172j),0,2.9786650321479777e-06,0
15,(4.2114762472528575+0.01499472924888346j),(-41.50880225058877-4.572163659074242j),0,0.0015461758101098996,0
16,(4.718735157275843+0.005677425636078005j),(-527.8943588371025-15.720291924391287j),2068.9655172413795,222.30641758265594,0
17,(4.892132699367116+0.003132932737313202j),(-21.698482521296995+1.5977649389298607j),2758.6206896551726,12.10760177366795,0
18,(5.1253265476467025+0.003985658148872385j),(-312.7800962442961+0.2103810519723181j),2068.9655172413795,131.16363121253096,0
19,(5.223789370416084+0.001993126185969789j),(-32.98129857621044-0.5606273470318186j),2068.9655172413795,14.88429153515197,0
20,(5.686879228193052+0.0075924332353103485j),(-91.54301369657638-4.606744873315356j),0,1.3264424479590722,0
21,(5.253745457467346-0j),-2.877785976276826j,0,8.630652834901729e-07,0
22,(5.686878970662928+0.007592713827608563j),(-80.86020719122087-1.8418690493717476j),8620.689655172415,31.708035086174,0
23,(5.957015220619524+0.0018774783315913797j),(-52.6350237473292-0.4873941951175915j),2068.9655172413795,20.99140565444703,0
24,(6.438738316009611+0.002274435956809367j),(-627.8668643947723-15.261372285326047j),2413.793103448276,253.6821880981059,0
25,(6.460357768962439+0.0038585868755547426j),(-150.02424062530076+6.8785898207105625j),2068.9655172413795,50.49723903315426,0
26,(6.673156898894502+0.001893247013500626j),(-1145.8632140508894-13.808051435356532j),2413.793103448276,453.07639836978433,0
27,(6.903370009358982+0.010077478807166734j),(-195.25198959454244-11.131911610627391j),1724.1379310344828,35.007540565810956,0
28,(7.059607665247846+0.026527357410689786j),(-116.5971215639513+0.23118330148697652j),0,0.43817971792022536,0
29,(7.08124704836788+0.001085503954969282j),(-234.33371470581454-5.779074363217189j),0,0.008344159777480023,0
30,(7.255900406035504+0.0021513315886993204j),(-640.5728267648205-23.528916171107245j),0,2.437107995897855e-06,0
31,(7.46354140602662+0.0021206194085424796j),(-101.71892840151294+1.6301297826260732j),0,5.305956062950329e-06,0
32,(7.584027066895176+0.03265584564705556j),(-474.95239279916836-209.78067731388785j),0,6.735330729916455e-07,0
33,(7.692482170934766-0j),26.676141045987606j,0,0.0002319349675848908,0
34,(8.04321882289662+0.35860249928060883j),(-619.6511445716976+152.2528907664101j),0,3.7668122344930695e-06,0
35,(6.6523914929925345-0j),16.69132961379364j,0,6.74334452811163e-05,0
36,(6.68583677485339-0j),-31.092210433706832j,0,0.002032131018657389,0
37,(6.903369723687182+0.010078561976494914j),(-280.8238539291161-6.994949741828402j),0,2.885233234554417,0
38,(7.059600344572842+0.02652804512342413j),(-133.3884958989904+3.4004148679990647j),0,23.04849260003837,0
39,(7.081247057910186+0.0010855193071578973j),(-1139.6673663860302-63.58357970819207j),8965.517241379312,725.8134562781993,0
40,(7.255900490579107+0.0021513745341632117j),(-1888.6751027871599-32.63507184877707j),3448.2758620689656,824.4195641658883,0
41,(7.463541217691608+0.002120613541144033j),(-231.29088216051113+2.1778260514383394j),2068.9655172413795,72.65657820576948,0
42,(7.5840372362507384+0.032691674268919085j),(-544.9569344464239-210.26993603170874j),1379.3103448275863,27.110822048558138,0
43,(7.700156556796966+0.004447478961705258j),(-586.7228242185812-4.761274841710147j),2068.9655172413795,160.49579872486166,0
44,(7.92957094259531+0.24802287965800665j),(-416.2621541391187+250.07619118368368j),1379.3103448275863,0.5242741485528423,0
45,(7.94800860433589+0.0034067475297620046j),(-84.83790797715633+0.461103618914559j),2068.9655172413795,23.600676078764845,0
46,(8.083428196276525+0.01028545359415867j),(-59.674250166713186-47.799932660628244j),1379.3103448275863,13.757482980565722,0
47,(8.111266716341266+0.005561917461537691j),(-1155.3802487115279-47.95105759304188j),2068.9655172413795,270.04023666003906,0
48,(7.928846313475284+0.22642878488734183j),(-463.9104727651663+127.90175970096733j),0,0.01213858467845161,1
49,(7.93712315643084-0j),-13.320030248089013j,0,0.021726050946850862,0
50,(8.083428729933571+0.010286869694861492j),(-77.26447939625547-46.43457406132272j),0,0.4231350956198539,1
51,(8.111266581116766+0.00556198993608824j),(-1870.3481148402745-30.7671405097277j),0,15.73001180591411,0
52,(8.612088874665236+0.001858382465431388j),(-432.27644196282296+29.16450399715128j),2068.9655172413795,119.58504093534785,0
53,(8.65676726450009+0.009980428695097025j),(-87.27069963691743-15.895817746053368j),1724.1379310344828,13.91921455331754,0
54,(8.662171903136535+0.004334134076839444j),(-4278.698270801468-130.93437773301181j),7241.379310344828,1905.6116908331314,0
55,(8.892974016300396+0.0013505774685221969j),(-5.807119894971649+0.21697729213828226j),2068.9655172413795,1.5897450624311078,0
56,(9.010088226488612+0.049652065791545796j),(-84.67860617567896-150.9474413253725j),1034.4827586206898,6.330161851809571,0
