Pole Index,Coefficients,Status
79,"[array([  -41.20271519, 38873.78931426]), array([    35.46562827, -33462.31820129])]",Success
80,"[array([  -40.82300548, 39124.33530654]), array([    35.13878953, -33677.35801025])]",Success
81,"[array([  -40.4502304 , 39289.16308114]), array([    34.38269584, -33395.8580081 ])]",Success
83,"[array([-4.00842017e+01,  4.01559554e+04]), array([ 3.40715715e+01, -3.41332438e+04])]",Success
87,"[array([-3.90248109e+01,  4.06482886e+04]), array([ 3.35909765e+01, -3.49881852e+04])]",Success
89,"[array([-3.92613893e+01,  4.21105589e+04]), array([ 3.32976339e+01, -3.57156879e+04])]",Success
91,"[array([-3.78543574e+01,  4.22342400e+04]), array([ 3.21762038e+01, -3.58985611e+04])]",Success
92,"[array([-3.75382808e+01,  4.23732093e+04]), array([ 3.23114315e+01, -3.64732371e+04])]",Success
93,"[array([-3.79362343e+01,  4.30158847e+04]), array([ 3.21737683e+01, -3.64819458e+04])]",Success
94,"[array([-3.79362343e+01,  4.33492585e+04]), array([ 3.21737683e+01, -3.67653007e+04])]",Success
95,"[array([-3.76188058e+01,  4.36221991e+04]), array([ 3.15057498e+01, -3.65336855e+04])]",Success
96,"[array([-3.62252932e+01,  4.29444553e+04]), array([ 3.16398130e+01, -3.75094486e+04])]",Success
97,"[array([-3.78718974e+01,  4.50971417e+04]), array([ 3.04822589e+01, -3.62983645e+04])]",Success
98,"[array([-3.69872874e+01,  4.47134852e+04]), array([ 3.08635945e+01, -3.73112335e+04])]",Success
99,[],Success
100,[],Success
101,"[array([-3.75664841e+01,  4.54129216e+04]), array([ 3.08643032e+01, -3.73120973e+04])]",Success
88,"[array([-3.96072708e+01,  4.14168852e+04]), array([ 3.35909765e+01, -3.51261424e+04])]",Success
90,"[array([-3.80199758e+01,  4.18141419e+04]), array([ 3.23169794e+01, -3.55420900e+04])]",Success
102,"[array([-3.69520149e+01,  4.53765823e+04]), array([ 3.04854123e+01, -3.74357985e+04])]",Success
103,"[array([-3.64004923e+01,  4.50089626e+04]), array([ 3.08713036e+01, -3.81725877e+04])]",Success
105,"[array([-3.52936846e+01,  4.52253148e+04]), array([ 2.99996319e+01, -3.84409747e+04])]",Success
107,"[array([-3.56545190e+01,  4.73505845e+04]), array([ 2.90518303e+01, -3.85850739e+04])]",Success
108,"[array([-3.60606915e+01,  4.85009702e+04]), array([ 2.8937592e+01, -3.8921253e+04])]",Success
109,"[array([-3.53737283e+01,  4.77863269e+04]), array([ 2.84715374e+01, -3.84616359e+04])]",Success
110,"[array([-3.52400991e+01,  4.80283781e+04]), array([ 2.87141548e+01, -3.91343266e+04])]",Success
111,"[array([-3.52400991e+01,  4.85248832e+04]), array([ 2.87141548e+01, -3.95394910e+04])]",Success
113,"[array([-3.60653026e+01,  5.05574735e+04]), array([ 2.92174604e+01, -4.09810880e+04])]",Success
114,"[array([-3.47041732e+01,  4.88834958e+04]), array([ 2.82774744e+01, -3.98316939e+04])]",Success
115,"[array([-3.45698475e+01,  4.92992476e+04]), array([ 2.81680239e+01, -4.01701522e+04])]",Success
116,"[array([-3.45698475e+01,  4.94001814e+04]), array([ 2.78245114e+01, -3.97608906e+04])]",Success
117,[],Success
119,[],Success
120,[],Success
121,[],Success
124,"[array([-3.3805918e+01,  5.0073015e+04]), array([ 2.78898824e+01, -4.13106616e+04])]",Success
130,"[array([-3.23634350e+01,  5.24739362e+04]), array([ 2.63702063e+01, -4.27566332e+04])]",Success
131,"[array([-3.22517737e+01,  5.29888004e+04]), array([ 2.59587447e+01, -4.26501873e+04])]",Success
132,"[array([-3.20147861e+01,  5.32274738e+04]), array([ 2.56012451e+01, -4.25641482e+04])]",Success
133,[],Success
134,[],Success
135,"[array([-3.20308015e+01,  5.32537301e+04]), array([ 2.58208693e+01, -4.29296149e+04])]",Success
104,"[array([-3.57220748e+01,  4.48203963e+04]), array([ 3.03637636e+01, -3.80977124e+04])]",Success
112,"[array([-3.45820641e+01,  4.80345068e+04]), array([ 2.86049172e+01, -3.97323149e+04])]",Success
122,"[array([-3.39301662e+01,  4.92052662e+04]), array([ 2.79923871e+01, -4.05947688e+04])]",Success
123,"[array([-3.39301662e+01,  4.97277469e+04]), array([ 2.79923871e+01, -4.10258154e+04])]",Success
125,"[array([-3.23326633e+01,  4.98145702e+04]), array([ 2.74827638e+01, -4.23427602e+04])]",Success
127,"[array([-3.28331635e+01,  5.13341852e+04]), array([ 2.70873599e+01, -4.23517393e+04])]",Success
128,"[array([-3.27141279e+01,  5.15343749e+04]), array([ 2.66559561e+01, -4.19916695e+04])]",Success
129,"[array([-3.24813055e+01,  5.22816257e+04]), array([ 2.64662490e+01, -4.25999357e+04])]",Success
136,"[array([-3.15822381e+01,  5.33076212e+04]), array([ 2.57336755e+01, -4.34356297e+04])]",Success
137,"[array([-3.13651945e+01,  5.40760264e+04]), array([ 2.55568252e+01, -4.40626447e+04])]",Success
138,"[array([-3.11511139e+01,  5.42525595e+04]), array([ 2.53823891e+01, -4.42055794e+04])]",Success
139,"[array([-3.04781457e+01,  5.37538257e+04]), array([ 2.58485539e+01, -4.55894273e+04])]",Success
140,"[array([-3.00299376e+01,  5.31945834e+04]), array([ 2.61799456e+01, -4.63752002e+04])]",Success
141,"[array([-3.13111126e+01,  5.57000632e+04]), array([ 2.51262015e+01, -4.47016289e+04])]",Success
143,"[array([-3.03232383e+01,  5.61799214e+04]), array([ 2.41124545e+01, -4.46726438e+04])]",Success
144,"[array([-3.01230996e+01,  5.64113769e+04]), array([ 2.42454216e+01, -4.54043466e+04])]",Success
145,"[array([-2.98253104e+01,  5.67151745e+04]), array([ 2.43021048e+01, -4.62136665e+04])]",Success
146,"[array([-3.02841613e+01,  5.80420932e+04]), array([ 2.40057376e+01, -4.60096651e+04])]",Success
147,[],Success
148,[],Success
149,[],Success
150,[],Success
151,[],Success
153,"[array([-2.90010848e+01,  5.63579550e+04]), array([ 2.42884085e+01, -4.71995749e+04])]",Success
154,"[array([-2.90010848e+01,  5.65257385e+04]), array([ 2.42884085e+01, -4.73407059e+04])]",Success
106,"[array([-3.50170423e+01,  4.55317229e+04]), array([ 2.97644860e+01, -3.87035645e+04])]",Success
118,"[array([ 1.61100847e+02, -2.32099667e+05])]",Success
126,"[array([-3.31921444e+01,  5.14300354e+04]), array([ 2.70454510e+01, -4.19072568e+04])]",Success
152,"[array([-3.03605107e+01,  5.87669756e+04]), array([ 2.45958568e+01, -4.76281037e+04])]",Success
155,"[array([-3.02654180e+01,  5.92035521e+04]), array([ 2.36217896e+01, -4.62098564e+04])]",Success
156,"[array([-3.02654180e+01,  5.97159557e+04]), array([ 2.33371898e+01, -4.60464235e+04])]",Success
157,"[array([-2.96093956e+01,  5.89667360e+04]), array([ 2.34708624e+01, -4.67426137e+04])]",Success
158,"[array([-2.99737799e+01,  5.98964132e+04]), array([ 2.31123122e+01, -4.61849814e+04])]",Success
159,"[array([-2.94214127e+01,  5.93336313e+04]), array([ 2.36097756e+01, -4.76141292e+04])]",Success
160,"[array([-2.94214127e+01,  5.95163739e+04]), array([ 2.33218515e+01, -4.71780036e+04])]",Success
161,"[array([-2.96926110e+01,  6.03761588e+04]), array([ 2.31747208e+01, -4.71238669e+04])]",Success
162,"[array([-2.92358016e+01,  6.00969089e+04]), array([ 2.28955073e+01, -4.70639112e+04])]",Success
163,"[array([-2.93226352e+01,  6.10724344e+04]), array([ 2.28859592e+01, -4.76670028e+04])]",Success
164,"[array([-2.92291410e+01,  6.16934005e+04]), array([ 2.28129881e+01, -4.81513606e+04])]",Success
166,"[array([-2.79123798e+01,  6.09047516e+04]), array([ 2.24660618e+01, -4.90209654e+04])]",Success
167,"[array([-2.82530440e+01,  6.21053143e+04]), array([ 2.21258778e+01, -4.86370539e+04])]",Success
168,[],Success
169,[],Success
170,[],Success
171,"[array([-2.74897494e+01,  6.15934810e+04]), array([ 2.23990550e+01, -5.01873734e+04])]",Success
175,"[array([-2.83738964e+01,  6.53535732e+04]), array([ 2.12804223e+01, -4.90149776e+04])]",Success
184,"[array([-2.70454938e+01,  6.65156137e+04]), array([ 2.08543567e+01, -5.12889432e+04])]",Success
185,"[array([-2.70454938e+01,  6.68236681e+04]), array([ 2.08543567e+01, -5.15270693e+04])]",Success
186,"[array([-2.69612608e+01,  6.70065620e+04]), array([ 2.07894059e+01, -5.16678008e+04])]",Success
187,[],Success
142,"[array([-3.04255762e+01,  5.60188907e+04]), array([ 2.44888784e+01, -4.50890405e+04])]",Success
165,"[array([-2.85162002e+01,  6.14235768e+04]), array([ 2.26043051e+01, -4.86895121e+04])]",Success
172,"[array([-2.73285675e+01,  6.16693861e+04]), array([ 2.19961641e+01, -4.96364028e+04])]",Success
173,"[array([-2.76668714e+01,  6.30207092e+04]), array([ 2.19310566e+01, -4.99579211e+04])]",Success
176,"[array([-2.78456038e+01,  6.50022898e+04]), array([ 2.14713090e+01, -5.01223379e+04])]",Success
